xml,replicate,dataset,ntaxa,nsites,npatterns,npartitions,ncalibrations,nspecies,pgaps,nchar,dated,NJtree.height,partition.model,treeclock.model,site.model,site.heterogeneity.model,branch.model,tree.model,search.mode,TopologyPOEM.dim,TopologyPOEM.weight,TopologyPOEM.min.ESS.hr,NodeHeightPOEM.dim,NodeHeightPOEM.weight,NodeHeightPOEM.min.ESS.hr,SiteModelPOEM.dim,SiteModelPOEM.weight,SiteModelPOEM.min.ESS.hr,ClockModelRatePOEM.dim,ClockModelRatePOEM.weight,ClockModelRatePOEM.min.ESS.hr,ClockModelSDPOEM.dim,ClockModelSDPOEM.weight,ClockModelSDPOEM.min.ESS.hr,SpeciesTreePriorPOEM.dim,SpeciesTreePriorPOEM.weight,SpeciesTreePriorPOEM.min.ESS.hr,ESS.mean.hr,ESS.sd.hr,ESS.cov.hr,nstates,runtime.smooth.hr,runtime.raw.hr,TopologyPOEM.weight.d,TopologyPOEM.min.ESS.m,TopologyPOEM.min.ESS.p,NodeHeightPOEM.weight.d,NodeHeightPOEM.min.ESS.m,NodeHeightPOEM.min.ESS.p,SiteModelPOEM.weight.d,SiteModelPOEM.min.ESS.m,SiteModelPOEM.min.ESS.p,ClockModelRatePOEM.weight.d,ClockModelRatePOEM.min.ESS.m,ClockModelRatePOEM.min.ESS.p,ClockModelSDPOEM.weight.d,ClockModelSDPOEM.min.ESS.m,ClockModelSDPOEM.min.ESS.p,SpeciesTreePriorPOEM.weight.d,SpeciesTreePriorPOEM.min.ESS.m,SpeciesTreePriorPOEM.min.ESS.p,ESS.mean.m,ESS.sd.m,ESS.cov.m,runtime.smooth.hr.m,runtime.raw.hr.m,Pmean
30,56,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.343304928978577,3.90542406341863,173,0.257043364543292,75.9461261165195,9,0.0580849380560522,617.2118239805,173,0.325911943740981,226.448347928775,87,0.0156418597905634,401.123609482469,1,1.29648905341041e-05,18.9016879949844,223.931614613148,190.996312517434,0.070400327401297,99990000,12.1153200740995,12.7351163888889,0.00399191777882066,0.473201945728642,0.00290682281659664,0.00584189464871119,9.20203646654225,0.0565270067072767,0.00645388200622802,74.7846664770727,0.459393239629207,0.00378967376443001,27.4376859226738,0.168546414896563,0.0156418597905634,48.6022694085228,0.298557913656777,1.29648905341041e-05,2.29022902290229,0.0140686022935794,27.132745131995,23.1421288040948,0.00853007800568166,0.121165317272722,0.127363900278917,0.406597935814472
30,57,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.575807652683648,28.5518215216077,173,0.215721612365498,197.161420420871,9,0.0149992945373782,893.700818121302,173,0.154046089121918,306.260635753209,87,0.0283439385577328,432.311996887736,1,0.0110814127338254,984.621304256715,367.289376713856,197.144687193776,0.0632708192116621,99990000,8.48346462125927,7.65498166666667,0.00669543782190288,2.42242592010269,0.0100442345733663,0.00490276391739767,16.7277921273895,0.0693593420660264,0.00166658828193091,75.8243751627416,0.314394675268841,0.00179123359444091,25.9841110940766,0.107739314066724,0.0283439385577328,36.6787031797486,0.152082875074526,0.0110814127338254,83.5383538353835,0.346379558950516,31.1619805292165,16.726372428019,0.00536809437283955,0.0848431305256453,0.0765574724139081,0.302992920207695
30,58,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.402335807281521,7.42321852223028,173,0.39422861622286,146.281793015737,9,0.00047730136246743,41.9017832054915,173,0.178915034210588,219.969012148724,87,0.0240179471228914,499.886186916033,1,2.52937996723239e-05,37.4856890351115,158.832775385368,134.063216098007,0.0845986445804832,99990000,9.9771408670036,9.21470777777778,0.0046783233404828,0.740699038732291,0.00778974402884478,0.00895974127779228,14.5962001719759,0.153504537184322,5.30334847186034e-05,4.18101803800214,0.0439707068497909,0.00208040737454172,21.9488130871432,0.23083010338238,0.0240179471228914,49.8793369770032,0.524568342959304,2.52937996723239e-05,3.74037403740374,0.0393365655953586,15.8485545986294,13.3770136222959,0.00844137007837835,0.0997813868087168,0.0921562934071185,0.434618140323019
30,59,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.495988417506038,23.5102644426229,173,0.0904481345872589,198.9866377852,9,0.00578555119676421,673.162191049333,173,0.343920296296358,434.688832278995,87,0.0630562434633871,614.703636643073,1,0.000801356950193845,919.667222839933,442.686857276704,223.624945774431,0.0621253526865563,99990000,8.13120204165582,7.36743277777778,0.00576730718030277,1.91185828818606,0.00820683152754959,0.0020556394224377,16.1816237165841,0.0694611418141276,0.00064283902186269,54.7416519874572,0.234983690044861,0.00399907321274835,35.3489621013296,0.151738744671601,0.0630562434633871,49.9877934321973,0.21457730505812,0.000801356950193845,74.7874787478748,0.321032286883741,35.9993627132967,18.1852146779301,0.00505204315035018,0.0813201524318014,0.0736816959473725,0.256071603128109
30,6,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.18603985650095,2.86929107546537,173,0.393261134415309,44.584531085134,9,0.0472917491141896,511.560298960462,173,0.0326920114048789,23.3120369406332,87,0.211362090150836,30.9789170990328,1,0.129353158413836,821.576332729845,139.961063476763,152.699825902262,0.115763052208332,99990000,9.42456554739399,14.5211963888889,0.00216325414535989,0.270445262679027,0.00199967123393391,0.00893775305489339,4.2023185879755,0.0310719275056173,0.00525463879046551,48.217157405714,0.356517476738729,0.000380139667498591,2.19727792969565,0.0162466645762066,0.211362090150836,2.91992033990518,0.0215898797828701,0.129353158413836,77.4377437743774,0.572574380162643,13.1920413723344,14.3927344563608,0.0109112558606242,0.0942550809820381,0.145226486537543,0.538496987693494
30,61,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.345035968871541,34.962217519485,173,0.291242101767417,251.631638420332,9,0.0018363615686491,328.584883893579,173,0.323517137982519,278.893702061567,87,0.0344549610044464,362.89769370244,1,0.00391346880542788,1167.43964452552,340.149830549225,155.508960100646,0.067220090536799,99990000,6.80120812860271,6.14737444444444,0.00401204614966909,2.37809098897387,0.0144209191887159,0.0066191386765322,17.1157030166815,0.103790885717172,0.000204040174294344,22.3499768304129,0.135531908255592,0.00376182718584324,18.9700381385862,0.115035710690553,0.0344549610044464,24.6838958321853,0.149684965255354,0.00391346880542788,79.4079407940794,0.481535610892613,23.1366115859008,10.5775457896496,0.0045722354851914,0.0680188831743446,0.0614798924336878,0.360829725039717
30,62,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.353121503064987,4.06227130099361,173,0.212400925521894,4.06227130099361,9,0.0513969088184171,324.038754055256,173,0.355987801907764,34.7615738337052,87,0.0270919730897143,778.795127492656,1,8.87597224055907e-07,1.27647753169799,191.169353301873,240.165058314722,0.160363204427222,99990000,7.83405876850638,7.06928833333333,0.00410606398912775,0.31827254831084,0.00354165979382682,0.00482729376186122,0.31827254831084,0.00354165979382682,0.00571076764649079,25.3879252179464,0.282510679825478,0.00413939304543912,2.72351447443765,0.0303066091097518,0.0270919730897143,61.01736971101,0.678986504420402,8.87597224055907e-07,0.1000100010001,0.00111288705671438,14.977817266769,18.8165534651395,0.0125642040982984,0.0783484225273165,0.0706999533286662,0.612464779816233
30,63,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.421743416528199,0.966457819321788,173,0.122700649735016,0.966457819321788,9,0.000608274403113124,71.9049570573186,173,0.404513957573769,9.08590930481482,87,0.0504336878231556,542.854040039403,1,1.39367462738778e-08,0.564479905683239,104.405504744347,146.149511765019,0.158034699068366,99990000,8.85771123056731,7.92736138888889,0.00490399321544418,0.0856146042611881,0.00154301859593274,0.00278865113034128,0.0856146042611881,0.00154301859593274,6.75860447903471e-05,6.36977043364408,0.114801374318693,0.00470365066946243,0.804884097301473,0.0145062999522586,0.0504336878231556,48.0892521953782,0.866705056249456,1.39367462738778e-08,0.05000500050005,0.000901232287727595,9.24886300537109,12.946796396669,0.0139996572532972,0.0885859709027634,0.0792815420430932,0.773244043092401
30,64,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.393779379330747,0.432406365431475,173,0.231248904607284,0.432406365431475,9,0.0031338641639211,401.131990298494,173,0.290959446274105,9.22834794090699,87,0.0808783666329929,538.196293224258,1,3.89909505261231e-08,0.30277480405003,158.288309168224,207.583888395435,0.132355892154729,99990000,9.90835419549734,9.82115416666667,0.00457882999221798,0.0428486391147386,0.00045529676592582,0.00525565692289281,0.0428486391147386,0.00045529676592582,0.000348207129324566,39.7495533455574,0.422366811621866,0.00338324937528029,0.914468847262676,0.00971687123093241,0.0808783666329929,53.3317281725142,0.566686920748166,3.89909505261231e-08,0.03000300030003,0.000318802867183158,15.6853348559371,20.5702039353992,0.0131156021535163,0.0990934513001034,0.098221363803047,0.577023445669299
30,66,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.374113828278956,15.0045346376706,173,0.154187888983967,166.456150480383,9,0.079732949470556,1019.75236864621,173,0.36888114771388,242.838863405799,87,0.023061671063925,335.458313349216,1,2.25144887168732e-05,50.8366148293216,305.078762908834,248.351052059254,0.104241378084751,99990000,7.80933194180778,6.72544,0.00435016079394134,1.17187110328955,0.00819764553139261,0.00350427020418106,13.0004133699051,0.0909424084857969,0.00885921660783955,79.6438118332136,0.557136135830034,0.00428931567109163,18.9659895260247,0.132673686423378,0.023061671063925,26.1996731831483,0.183275816931476,2.25144887168732e-05,3.97039703970397,0.0277743067979224,23.8269959791095,19.3964976860476,0.00814136937229028,0.0781011295310309,0.0672611261126113,0.451702860842817
30,67,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.28210375155472,12.1924058077298,173,0.26018714461779,121.1972842174,9,0.0407960013303264,1058.08466205929,173,0.406265031129466,143.180141743976,87,0.0106378399849642,212.434716132932,1,1.02313827325992e-05,20.2159325759339,261.235088760134,265.616524433052,0.126882680594064,99990000,8.01348141578455,7.21122888888889,0.00328027618086884,0.97713388692816,0.00777921636114326,0.00591334419585887,9.71309315651258,0.0773284543820212,0.00453288903670294,84.7978975471428,0.675098060577017,0.00472401198987752,11.4748615359011,0.0913543494869071,0.0106378399849642,17.0251190098882,0.135541389080768,1.02313827325992e-05,1.62016201620162,0.0128985301121433,20.9361189011918,21.2872595486503,0.0101687369029449,0.0801428284406896,0.0721195008389728,0.567463116154401
30,68,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.418163083967244,9.56286698381157,173,0.171084006169631,143.638716250364,9,0.0936765785781337,879.108654132942,173,0.224302441981376,146.238309560133,87,0.0914397454430029,177.044261375286,1,0.0013341438606115,907.272796846919,306.976158305909,250.473493018014,0.0864609078806213,99990000,9.4370734246148,8.56413916666667,0.00486236144147958,0.90254503326387,0.00422599864616351,0.00388827286749162,13.5566467833993,0.0634764680339366,0.0104085087309037,82.9704262152902,0.388493533213997,0.002608167930016,13.80199684779,0.064625273912577,0.0914397454430029,16.7094678868414,0.0782389643346021,0.0013341438606115,85.6285628562856,0.400939761858724,28.9724627016606,23.6397314184492,0.00816019537982078,0.0943801722633743,0.0856499566623329,0.399196861145984
30,7,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.066060205533624,16.2011095035329,173,0.107952103748412,69.1047703748875,9,0.00057943883293625,97.9341118286881,173,0.0793549212331425,142.632476476957,87,0.623872954204112,270.789131626323,1,0.122180376447774,907.783768886416,153.356027971712,95.850547900927,0.0834141126101021,99990000,7.49297380404153,12.9771797222222,0.000768141924809582,1.21406629769357,0.0107688254027907,0.00245345690337299,5.17852019355272,0.0459337187064148,6.43820925484722e-05,7.3389112356679,0.0650964892886217,0.000922731642245843,10.6884829467687,0.0948073485715931,0.623872954204112,20.2921879157435,0.179992665244394,0.122180376447774,68.026802680268,0.603400952786185,11.49207621046,7.18277472271901,0.00625082268901755,0.0749372317635916,0.129784775699792,0.495252726468038
30,70,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.15297136104775,227.232969156144,173,0.224910352452683,332.452593903247,9,0.00189054152907283,268.944602853927,173,0.553088801141375,689.158794873061,87,0.0361615363253797,787.003452544169,1,0.0309774075037386,1091.64268749403,521.292949817525,245.082894513085,0.0596223927570061,99990000,7.88536404687551,7.24091277777778,0.00177873675636919,17.9199388463709,0.066903374394222,0.00511159891937916,26.2177190844601,0.0978828047744928,0.000210060169896982,21.2093819576515,0.0791843785823063,0.00643126512955087,54.3481146482658,0.20290651062514,0.0361615363253797,62.0642937239593,0.231714556345594,0.0309774075037386,86.0886088608861,0.321408375278245,41.1099578395919,19.3276112100977,0.00470191291363923,0.0788615266214173,0.0724163694147193,0.227654640840377
30,73,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.560482142466746,1.24070504931709,173,0.0681748943949494,1.24070504931709,9,0.00269409613540513,45.0588191739751,173,0.328184476829393,5.31684799560534,87,0.0404643823328897,517.488488292323,1,7.84061696216758e-09,0.552902898001229,95.156520319895,140.777322657476,0.204495155477798,99990000,7.23454337906384,6.55266694444444,0.0065172342147296,0.0897683218312635,0.00217324991721745,0.00154942941806703,0.0897683218312635,0.00217324991721745,0.000299344015045015,3.26012583181835,0.0789261517825344,0.00381609856778364,0.384688143455301,0.00931312359264364,0.0404643823328897,37.4416733345033,0.90644574628055,7.84061696216758e-09,0.04000400040004,0.000968478509837485,6.88482822337284,10.1856150370435,0.0147957703081561,0.0723526690575442,0.0655332227667211,0.813205804191483
30,74,../datasets/Cognato_2001/alignment.nex,44,1975,876,4,0,1,0.046800920598389,4,false,0.103147777819355,Concat.model,Estimated.clock.model,HKY.model,NoHet.model,RelaxedLN.model,Coalescent.model,MCMC.search,87,0.422796291195346,12.8093945941994,173,0.0860026110514748,93.5934825654537,9,0.0484747887403498,716.985260815272,173,0.299617616112623,141.33307634253,87,0.14309520074206,350.656403688733,1,1.34921581474228e-05,22.7891940065685,223.037611759944,207.188813661372,0.0971092655682701,99990000,9.56593725680538,8.88339416666667,0.00491623594413193,1.22546119597734,0.009572345151,0.00195460479662443,8.95398921759215,0.069941566122596,0.00538608763781665,68.5932195120826,0.535796624440897,0.00348392576875143,13.5211855245917,0.105616934356598,0.14309520074206,33.5469262564601,0.262042370607971,1.34921581474228e-05,2.18021802180218,0.0170301593209377,21.3377717772112,19.8215340713734,0.00929034044885012,0.095668939462,0.0888428259492616,0.453327669243994
